cc,ndc,operator_name,plmn_name,country_name,data_date,execution_id,ld_year,ld_month,ld_day
1,9394040999,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939286004,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939286003,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939286002,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,93928600,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939286000,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,9392430045,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,9392430044,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,9392430043,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,9392430042,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939243004,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939243003,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939243002,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,93924300,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939243000,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,34599,CABLE AND WIRELESS WEST INDIES CAYMAN,CYMK9,CAYMAN ISLAND,NULL,NULL,2021,3,1
1,86839990,DIGICEL,TTODL,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,34559,CABLE AND WIRELESS WEST INDIES CAYMAN,CYMK9,CAYMAN ISLAND,NULL,NULL,2021,3,1
1,87638,DIGICEL,JAMDC,JAMAICA,NULL,NULL,2021,3,1
1,8768,CABLE AND WIRELESS WEST INDIES JAMAICA,JAMK9,JAMAICA,NULL,NULL,2021,3,1
1,87682,CABLE AND WIRELESS WEST INDIES JAMAICA,JAMK9,JAMAICA,NULL,NULL,2021,3,1
1,869660,CABLE AND WIRELESS WEST INDIES ST. KITTS,KNAK9,ST. KITTS AND NEVIS,NULL,NULL,2021,3,1
1,758485,CABLE AND WIRELESS WEST INDIES ST LUCIA,LCAK9,ST. LUCIA,NULL,NULL,2021,3,1
1,876387,DIGICEL,ABWDC,ARUBA,NULL,NULL,2021,3,1
1,664492,CABLE AND WIRELESS WEST INDIES MONTSERRAT,MSRK9,MONTSERRAT,NULL,NULL,2021,3,1
1,9392430040,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,5442400,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,58745009,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,58745008,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,684258,BLUESKY COMMUNICATIONS A.S.,ASMK9,AMERICAN SAMOA,NULL,NULL,2021,3,1
1,684254,BLUESKY COMMUNICATIONS A.S.,ASMK9,AMERICAN SAMOA,NULL,NULL,2021,3,1
1,268789,CABLE AND WIRELESS FLOW ANTIGUA,ATGK9,ANTIGUA AND BARBUDA,NULL,NULL,2021,3,1
1,58745007,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,58745006,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,58745005,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,438520009,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,438520008,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,438520007,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,438520006,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,438520005,VIDEOTRON ,CANVT,CANADA,NULL,NULL,2021,3,1
1,43720,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,647239,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,647238,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,647237,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,2368504,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,2368503,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,2368502,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,236850,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,28454,CABLE AND WIRELESS WEST INDIES- BRITISH VIRGIN ISLANDS,VGBK9,BRITISH VIRGIN ISLANDS,NULL,NULL,2021,3,1
1,284347,DIGICEL,VGBDC,BRITISH VIRGIN ISLANDS,NULL,NULL,2021,3,1
1,78449,CABLE AND WIRELESS WEST INDIES ST VINCENT,VCTK9,ST. VINCENT,NULL,NULL,2021,3,1
1,80825,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,70434,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,64662,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,56227,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,50545,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,5035,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,40547,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,40445,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,33433,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,2063,T-MOBILE USA,USAW6,UNITED STATES,NULL,NULL,2021,3,1
1,6748999,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,67489989,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,6748899,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,6748898,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,6748895,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,6748097,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,6748096,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,6748095,TELEGUAM HOLDINGS LLC,USAPU,GUAM,NULL,NULL,2021,3,1
1,307702,UNION TELEPHONE COMPANY,USAK8,UNITED STATES,NULL,NULL,2021,3,1
1,340779,COMMNET WIRELESS LLC,USAK6,UNITED STATES,NULL,NULL,2021,3,1
1,303397,COMMNET WIRELESS LLC,USAK6,UNITED STATES,NULL,NULL,2021,3,1
1,928306,SMITH BAGLEY DBA CELLULARONE,USAK5,UNITED STATES,NULL,NULL,2021,3,1
1,570858,INDIGO WIRELESS USAIN,USAK0,UNITED STATES,NULL,NULL,2021,3,1
1,670789,PTI PACIFICA INC. BDA IT&E,USAGU,GUAM,NULL,NULL,2021,3,1
1,2368500,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,2365884,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,2365883,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,2365882,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,236588,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,2365880,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,8255884,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,970467,VIAERO WIRELESS,USACI,UNITED STATES,NULL,NULL,2021,3,1
1,70440,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,989707,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,970376,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,8255883,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,8255882,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,825588,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,8255880,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,8255804,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,8255803,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,8255802,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,825580,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,8255800,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4388504,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4388503,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4388502,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,438850,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4388500,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385504,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385503,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385502,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,438550,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4385500,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4378504,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4378503,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4378502,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,437850,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4378500,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4375504,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4375503,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4375502,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,437550,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,4375500,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,28989980,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,289899800,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,28989970,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,289899700,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,7785804,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,7785803,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,90783,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,907599,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,787590,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,704502,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,2425,THE BAHAMAS TELECOMMUNICATIONS COMPANY LTD,BHSK8,BAHAMAS,NULL,NULL,2021,3,1
1,7785802,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,778580,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,7785800,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,6478504,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,6478503,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,6478502,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,647850,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,678768,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,447900,BERMUDA DIGITAL COMMUNICATIONS LIMITED (BDC),BMUK9,BERMUDA,NULL,NULL,2021,3,1
1,678667,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,636384,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,54287,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,404725,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,360339,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,3234,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,240449,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,209904,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,2085979,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,2085978,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,404726,AT&T USA,USACG,UNITED STATES,NULL,NULL,2021,3,1
1,6478500,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
1,6475804,TELUS,CANTS,CANADA,NULL,NULL,2021,3,1
