batchtime,activetime,imsi,c360_subscription_identifier,msisdn,mcc,mnc,visitcc,visitndc,execution_id,partition_date
30-11-2020 00:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
30-11-2020 14:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
30-11-2020 11:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
30-11-2020 12:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
30-11-2020 13:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
30-11-2020 02:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
30-11-2020 03:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
30-11-2020 05:00,29-11-2020 22:29,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,30-11-2020
12-11-2020 23:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 12:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 03:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
12-11-2020 23:00,12-11-2020 23:34,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,13-11-2020
12-11-2020 23:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,13-11-2020
13-11-2020 12:00,13-11-2020 11:45,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,13-11-2020
13-11-2020 12:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,13-11-2020
26-11-2020 01:00,25-11-2020 19:38,56aTd4iFWJXhSdDlfpcK0EY2CfkKyBTsKZpo.cjMfs++SDp6yfap97HBQJtSIphC,null,null,null,null,49,1760,null,26-11-2020
26-11-2020 16:00,26-11-2020 12:09,56aTd4iFWJXhSdDlfpcK0EY2CfkKyBTsKZpo.cjMfs++SDp6yfap97HBQJtSIphC,null,null,null,null,49,1760,null,26-11-2020
26-11-2020 12:00,26-11-2020 12:09,56aTd4iFWJXhSdDlfpcK0EY2CfkKyBTsKZpo.cjMfs++SDp6yfap97HBQJtSIphC,null,null,null,null,49,1760,null,26-11-2020
26-11-2020 11:00,26-11-2020 02:37,56aTd4iFWJXhSdDlfpcK0EY2CfkKyBTsKZpo.cjMfs++SDp6yfap97HBQJtSIphC,null,null,null,null,49,1760,null,26-11-2020
26-11-2020 03:00,26-11-2020 02:37,56aTd4iFWJXhSdDlfpcK0EY2CfkKyBTsKZpo.cjMfs++SDp6yfap97HBQJtSIphC,null,null,null,null,49,1760,null,26-11-2020
26-11-2020 02:00,26-11-2020 02:37,56aTd4iFWJXhSdDlfpcK0EY2CfkKyBTsKZpo.cjMfs++SDp6yfap97HBQJtSIphC,null,null,null,null,49,1760,null,26-11-2020
14-11-2020 08:00,13-11-2020 23:19,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,14-11-2020
14-11-2020 08:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,14-11-2020
14-11-2020 09:00,13-11-2020 23:19,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,14-11-2020
14-11-2020 09:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,14-11-2020
14-11-2020 04:00,13-11-2020 23:19,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,14-11-2020
14-11-2020 04:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,14-11-2020
14-11-2020 10:00,13-11-2020 23:19,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,14-11-2020
14-11-2020 10:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,14-11-2020
14-11-2020 05:00,13-11-2020 23:19,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,14-11-2020
14-11-2020 05:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,14-11-2020
14-11-2020 14:00,13-11-2020 23:19,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,14-11-2020
14-11-2020 14:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,14-11-2020
